scoot_name,description,time,congestion_percentage,current_flow,average_speed,link_travel_time,start_lat,start_long,end_lat,end_long
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:05:17Z,0,36,38,57,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:06:19Z,0,36,38,57,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:07:16Z,0,36,38,57,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:08:16Z,0,36,38,57,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:09:18Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:10:16Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:11:15Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:12:14Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:13:14Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:14:20Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:16:14Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:17:15Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:18:16Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:19:15Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:20:15Z,0,30,37,45,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161G,"Wilbraham Rd westbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T12:20:15Z,0,50,22,31,-2.27492378120811,53.4424322149984,-2.27701353136077,53.4424621817972
N22161G,"Wilbraham Rd westbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T12:21:18Z,0,50,22,31,-2.27492378120811,53.4424322149984,-2.27701353136077,53.4424621817972
N22161G,"Wilbraham Rd westbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T12:22:14Z,0,50,22,31,-2.27492378120811,53.4424322149984,-2.27701353136077,53.4424621817972
N22161G,"Wilbraham Rd westbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T12:23:16Z,0,50,22,31,-2.27492378120811,53.4424322149984,-2.27701353136077,53.4424621817972
N22161G,"Wilbraham Rd westbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T12:24:18Z,0,50,22,31,-2.27492378120811,53.4424322149984,-2.27701353136077,53.4424621817972
